"block";"j_offset";"j_string";"e_string";"pointer"
1;"4B58";"…ん？　誰だ？";;"00005718"
1;"4B70";"…ん？　誰かな…？";;"00005720"
1;"4B90";"おはようございます";;"00005728"
1;"4BB0";"おはよう　どうしてここに？";;"00005730"
1;"4BD0";"あれ？　おはよう　どうしてここに？";;"00005738"
1;"4BF8";"…誰？";;"00005740"
1;"4C00";"新聞なら間に合ってるよ";;"00005748"
1;"4C20";"新聞なら間に合ってますから";;"00005750"
1;"4C40";"おはよう　どうしてここに？";;"00005758"
1;"4C60";"あれ？　おはよう　どうしてここに？";;"00005760"
1;"4C88";"…誰だっけ？";;"00005768"
1;"4CA0";"…ごめん　誰だっけ";;"00005770"
1;"4CC0";"え！？　ひどい…
私のこと覚えてないんですか？";;"00005778"
1;"4CF0";"以前、大海町の病院まで送ってもらった
白石 紀子です";;"00005780"
1;"4D30";"新聞なら間に合ってるよ";;"00005788"
1;"4D50";"新聞なら間に合ってますから";;"00005790"
1;"4D70";"ち、違います！
新聞の勧誘じゃありません！";;"00005798"
1;"4DA0";"実は　怪我も随分良くなったんで
今朝、病院を退院させてもらったんです";;"000057A0"
1;"4DF0";"記憶の方はまだなんですけど
早く普通の生活に戻りたかったので…";;"000057A8"
1;"4E30";"普通に生活する分には差し支えないって
先生も言ってくれてるんですよ";;"000057B0"
1;"4E80";"それで今日はあいさつに伺ったんです
あなたには色々親切にしていただいたから…";;"000057B8"
1;"4ED0";"そうか…　退院おめでとう";;"000057C0"
1;"4EF0";"本当にもう退院して大丈夫なのか？";;"000057C8"
1;"4F20";"君のことはすっかり忘れてたよ";;"000057D0"
1;"4F40";"ずっと入院していれば良かったのに";;"000057D8"
1;"4F70";"そう　退院おめでとう";;"000057E0"
1;"4F90";"本当にもう退院して大丈夫なの？";;"000057E8"
1;"4FB0";"あなたのことすっかり忘れてたわ";;"000057F0"
1;"4FD0";"ずっと入院していれば良かったのに";;"000057F8"
1;"5000";"そうか…　退院おめでとう";;"00005800"
1;"5020";"そう　退院おめでとう";;"00005808"
1;"5040";"はい　ありがとうございます";;"00005810"
1;"5060";"本当にもう退院して大丈夫なのか？
あまり無理をしない方がいいぞ";;"00005818"
1;"50A0";"本当に退院して大丈夫なの？
あまり無理をしない方がいいわよ？";;"00005820"
1;"50E0";"心配してくださってありがとうございます
でも本当にもう大丈夫なんですよ";;"00005828"
1;"5130";"そんなこともあったかな？
君のことはすっかり忘れてたよ";;"00005830"
1;"5170";"そんなこともあったっけ
あなたのことすっかり忘れてたから…";;"00005838"
1;"51B0";"そうですか…　じゃあ今日はかえって
ご迷惑になってしまったかもしれませんね…";;"00005840"
1;"5200";"どうせなら　
ずっと入院していれば良かったのに";;"00005848"
1;"5230";"なあんだ
ずっと入院していれば良かったのに";;"00005850"
1;"5260";"えっ！　す、すみません…";;"00005858"
1;"5280";"それで　これからはパチパラ町の
銀玉会館で働くことになったんです";;"00005860"
1;"52C0";"今日からすぐに働かせてもらう予定なんです
よかったら　お店の方にも来てくださいね";;"00005868"
1;"5310";"時々顔を出すようにするよ";;"00005870"
1;"5330";"毎日　君に逢いに行くよ";;"00005878"
1;"5350";"パチパラ町にはあまり行かないんだ";;"00005880"
1;"5380";"君が働いてるなら　行かないだろうね";;"00005888"
1;"53B0";"うん　今度行くから";;"00005890"
1;"53D0";"じゃあ…　毎日会いに行っちゃおうかな？";;"00005898"
1;"5400";"ごめん　パチパラ町にはあまり行かないの";;"000058A0"
1;"5430";"あなたがいるんじゃあ　もう行かないかも…";;"000058A8"
1;"5460";"時々顔を出すようにするよ";;"000058B0"
1;"5480";"うん　今度行くから";;"000058B8"
1;"54A0";"はい！　お待ちしてます！";;"000058C0"
1;"54C0";"毎日　君に逢いに行くよ";;"000058C8"
1;"54E0";"じゃあ…　毎日会いに行っちゃおうかな？";;"000058D0"
1;"5510";"あ、ありがとうございます…";;"000058D8"
1;"5530";"悪いけど
パチパラ町にはあまり行かないんだ";;"000058E0"
1;"5560";"ごめん　パチパラ町にはあまり行かないの";;"000058E8"
1;"5590";"そうなんですか…
でもたまには来てくださいね";;"000058F0"
1;"55C0";"君が働いてるんじゃあ
行くことはないだろうね";;"000058F8"
1;"55F0";"あなたがいるんじゃあ　もう行かないかも…";;"00005900"
1;"5620";"す、すみません…　で、でも、私のことは
気にしないで　お店には来てくださいね…";;"00005908"
1;"5670";"それじゃあ　今日はこれで失礼します";;"00005910"
1;"5698";"…んん？……";;"00005918"
1;"56B0";"なんだ…　公園の方が騒がしいな…";;"00005920"
1;"56D8";"ん…　何…？";;"00005928"
1;"56F0";"何かな…　公園の方が騒がしいけど…";;"00005930"
