"block";"j_offset";"j_string";"e_string";"pointer"
"0";"00003340";"色白な店主";"";"00003F90"
"0";"00003350";"いらっしゃい";"";"00003F98"
"0";"00003360";"色白な店主";"";"00003FA0"
"0";"00003370";"また来ておくれ";"";"00003FA8"
"0";"00003380";"砂が盛り上がっている…";"";"00003FB0"
"0";"00003398";"白石 紀子";"";"00003FB8"
"0";"000033B0";"ねぇ　ここで砂遊びしませんか？";"";"00003FC0"
"0";"000033D0";"美沢 ゆき";"";"00003FC8"
"0";"000033E0";"ねぇねぇ　ここで砂遊びしない？";"";"00003FD0"
"0";"00003400";"桂木 綾";"";"00003FD8"
"0";"00003410";"ねぇ　ここで砂遊びしない？";"";"00003FE0"
"0";"00003430";"片山 昭吾";"";"00003FE8"
"0";"00003440";"そうだ！
ここで砂遊びをするというのはどうですか？";"";"00003FF0"
"0";"00003478";"黒崎 竜介";"";"00003FF8"
"0";"00003490";"おっ　そうだ…！
なあ、砂遊びしようぜ！";"";"00004000"
"0";"000034B8";"朝倉 徹";"";"00004008"
"0";"000034C0";"そうだ　$puさん
砂遊びをしませんか？";"";"00004010"
"0";"000034F0";"乗り気で砂遊びをする";"";"00004018"
"0";"00003510";"イヤイヤ砂遊びをする";"";"00004020"
"0";"00003530";"他にしたいことがないので砂遊びをする";"";"00004028"
"0";"00003560";"砂遊びより他のことをしたい";"";"00004030"
"0";"00003580";"$p";"";"00004038"
"0";"00003590";"よし！　砂遊びやろうか！";"";"00004040"
"0";"000035B0";"$p";"";"00004048"
"0";"000035C0";"うん　私、砂遊び大好き！";"";"00004050"
"0";"000035E0";"$p";"";"00004058"
"0";"000035F0";"砂遊び？　…まあ、いいけど…";"";"00004060"
"0";"00003610";"$p";"";"00004068"
"0";"00003620";"砂遊び？　…しょうがないわね…";"";"00004070"
"0";"00003640";"$p";"";"00004078"
"0";"00003650";"砂遊びか…　まあ、いいよ";"";"00004080"
"0";"00003670";"$p";"";"00004088"
"0";"00003680";"どうせヒマだし　いいわよ";"";"00004090"
"0";"000036A0";"$p";"";"00004098"
"0";"000036B0";"砂遊びより、他のことをして遊ばないか？";"";"000040A0"
"0";"000036D8";"$p";"";"000040A8"
"0";"000036E0";"砂遊びより、他のことをして遊ばない？";"";"000040B0"
"0";"00003708";"白石 紀子";"";"000040B8"
"0";"00003720";"それじゃあ　ここに寝てください
目をつぶって、ちょっと待っててくださいね";"";"000040C0"
"0";"00003768";"美沢 ゆき";"";"000040C8"
"0";"00003780";"それじゃ　ここに寝てっ
目をつぶって待っててね";"";"000040D0"
"0";"000037B0";"桂木 綾";"";"000040D8"
"0";"000037C0";"それじゃ　ここに横になって…
ちょっと目をつぶって待っててね";"";"000040E0"
"0";"00003800";"片山 昭吾";"";"000040E8"
"0";"00003810";"それでは！　ここに横になってください
少しの間、目をつぶっていてくださいね";"";"000040F0"
"0";"00003860";"黒崎 竜介";"";"000040F8"
"0";"00003870";"よーし　ここに寝っ転がってくれ
しばらく目をつぶってな";"";"00004100"
"0";"000038A8";"朝倉 徹";"";"00004108"
"0";"000038B0";"それでは　ここに横になってください
少し目をつぶっていてくださいね";"";"00004110"
"0";"000038F8";"白石 紀子";"";"00004118"
"0";"00003910";"はい　できましたよ！";"";"00004120"
"0";"00003928";"美沢 ゆき";"";"00004128"
"0";"00003940";"はい　できたよー
目を開けて";"";"00004130"
"0";"00003960";"桂木 綾";"";"00004138"
"0";"00003970";"はい　できたわよ";"";"00004140"
"0";"00003988";"片山 昭吾";"";"00004148"
"0";"000039A0";"完成であります！
目をお開けになってください！";"";"00004150"
"0";"000039D0";"黒崎 竜介";"";"00004158"
"0";"000039E0";"よーし！　完成だ！";"";"00004160"
"0";"000039F8";"朝倉 徹";"";"00004168"
