"block";"j_offset";"j_string";"e_string";"pointer"
"0";"00084380";"謎の早朝電話について聞く";"";"0008A3D0"
"0";"000843A0";"何も聞かない";"";"0008A3D8"
"0";"000843B0";"この間、朝早く俺に
電話をかけてこなかったか？";"";"0008A3E0"
"0";"000843E0";"ねえ、私の家に朝早く電話かけたことない？";"";"0008A3E8"
"0";"00084410";"えっ？　で、電話…ですか？";"";"0008A3F0"
"0";"00084430";"その時間に隣の部屋で殺人事件が起きて
俺はまた事件の容疑者になってるんだ";"";"0008A3F8"
"0";"00084480";"その時間に隣の部屋で殺人事件が起きて
私また事件の容疑者になってるのよ";"";"0008A400"
"0";"000844D0";"そうなんですか？";"";"0008A408"
"0";"000844F0";"電話をかけてきた相手が証言してくれれば
アリバイが証明できるらしいんだが…";"";"0008A410"
"0";"00084540";"電話をかけてきた相手が証言してくれれば
アリバイが証明できるらしいんだけど…";"";"0008A418"
"0";"00084590";"………………………………";"....................................";"0008A420"
"0";"000845B0";"あの…　私です…
…私がかけました";"";"0008A428"
"0";"000845E0";"本当か！　それじゃあ　さっそく証言してくれ！";"";"0008A430"
"0";"00084610";"君が…？　でもどうして？";"";"0008A438"
"0";"00084630";"本当？　じゃあ　さっそく証言してよ！";"";"0008A440"
"0";"00084660";"あなたが？　…何か用事でもあったの？";"";"0008A448"
"0";"00084690";"本当か！
それじゃあ　さっそく証言してくれ！";"";"0008A450"
"0";"000846C0";"本当？　じゃあ　さっそく証言してよ！";"";"0008A458"
"0";"000846F0";"あ…　は、はい…！";"";"0008A460"
"0";"00084710";"君が…？　でもどうして？";"";"0008A468"
"0";"00084730";"あなたが？　…何か用事でもあったの？";"";"0008A470"
"0";"00084760";"いえっ…　その…";"";"0008A478"
"0";"00084780";"ちょっと…
$puさんのことが気になって…";"";"0008A480"
"0";"000847B0";"ごめんなさい　朝早く…";"";"0008A488"
"0";"000847D0";"…それじゃあ　$ci大海町の交番$crにいる
刑事さんに話してきますね";"";"0008A490"
"0";"00084810";"白石 紀子";"";"0008A498"
"0";"00084820";"おはようございます
$pさん";"";"0008A4A0"
"0";"00084840";"白石 紀子";"";"0008A4A8"
"0";"00084850";"こんにちは　$pさん";"";"0008A4B0"
"0";"00084868";"白石 紀子";"";"0008A4B8"
"0";"00084880";"こんばんは　$pさん";"";"0008A4C0"
"0";"00084898";"白石 紀子";"";"0008A4C8"
"0";"000848B0";"口紅　ありがとうございました";"";"0008A4D0"
"0";"000848D0";"白石 紀子";"";"0008A4D8"
"0";"000848E0";"おかげ様で、これからはもう
不幸そうだなんて言われなくて済みそうです";"";"0008A4E0"
"0";"00084928";"白石 紀子";"";"0008A4E8"
"0";"00084940";"私には似合わなかったけど…
すごく嬉しかったです";"";"0008A4F0"
"0";"00084970";"（ん？）";"";"0008A4F8"
"0";"00084980";"（あら？）";"";"0008A500"
"0";"00084990";"（何だ？）";"";"0008A508"
"0";"000849A0";"（何かしら？）";"";"0008A510"
"0";"000849B0";"白石 紀子の命は預かった
彼女を助けたければ…";"";"0008A518"
"0";"000849E0";"出玉町の第１埠頭まで、一人で来い
　　　　　　　　　　　　　銀玉仮面";"";"0008A520"
"0";"00084A30";"紀子が心配だ　助けに行く！";"";"0008A528"
"0";"00084A50";"銀玉仮面の正体を暴きに行く！";"";"0008A530"
"0";"00084A70";"ヒマだし、することがないので埠頭に行く";"";"0008A538"
"0";"00084AA0";"紀子が心配よ　助けに行く！";"";"0008A540"
"0";"00084AC0";"紀子…　待ってろ
必ず助けるからな！";"";"0008A548"
"0";"00084AF0";"銀玉仮面め…
今度こそその正体を暴いてやる！";"";"0008A550"
"0";"00084B20";"…まあヒマだし、
第１埠頭まで行ってみるかな…";"";"0008A558"
"0";"00084B50";"紀子ちゃん…　必ず助けるからね！";"";"0008A560"
"0";"00084B80";"銀玉仮面…
今度こそその正体を暴いてやるわ！";"";"0008A568"
"0";"00084BB0";"…まあヒマだし
第１埠頭まで行ってみようかな…";"";"0008A570"
"0";"00084BE0";"あっ　$puさん！
おはようございます";"";"0008A578"
"0";"00084C10";"あっ　$puさん！
こんにちは";"";"0008A580"
"0";"00084C30";"あっ　$puさん！
こんばんは";"";"0008A588"
"0";"00084C50";"…そうだ、$puさん
今度の金曜日、盆踊りに行きませんか？";"";"0008A590"
"0";"00084C90";"…そうだ、$puさん
明日の夜に、盆踊りに行きませんか？";"";"0008A598"
"0";"00084CC8";"いいね　行こう";"";"0008A5A0"
"0";"00084CE0";"いや　やめておく";"";"0008A5A8"
"0";"00084CF8";"いいね　行こう";"";"0008A5B0"
"0";"00084D10";"それじゃあ、明日の夜に公園で
待ってますね";"";"0008A5B8"
"0";"00084D40";"それじゃあ、金曜日の夜に公園で
待ってますね";"";"0008A5C0"
"0";"00084D70";"いや　やめておくよ";"";"0008A5C8"
"0";"00084D90";"そう…　ですか…
分かりました";"";"0008A5D0"
"0";"00084DB0";"白石 紀子";"";"0008A5D8"
"0";"00084DC0";"$puさん
おはようございます";"";"0008A5E0"
"0";"00084DE0";"白石 紀子";"";"0008A5E8"
"0";"00084DF0";"$puさん
こんにちは";"";"0008A5F0"
"0";"00084E08";"白石 紀子";"";"0008A5F8"
"0";"00084E20";"$puさん
こんばんは";"";"0008A600"
"0";"00084E38";"白石 紀子";"";"0008A608"
"0";"00084E50";"今度の金曜日、盆踊りに行きませんか？";"";"0008A610"
"0";"00084E78";"白石 紀子";"";"0008A618"
"0";"00084E90";"明日の夜、盆踊りに行きませんか？";"";"0008A620"
"0";"00084EB8";"いいね　行こう";"";"0008A628"
"0";"00084ED0";"いや　やめておく";"";"0008A630"
"0";"00084EE8";"$p";"";"0008A638"
"0";"00084EF0";"いいね　行こう";"";"0008A640"
"0";"00084F00";"白石 紀子";"";"0008A648"
"0";"00084F10";"それじゃあ、今日の夜に公園で
待ってますね";"";"0008A650"
"0";"00084F40";"白石 紀子";"";"0008A658"
"0";"00084F50";"それじゃあ、明日の夜に公園で
待ってますね";"";"0008A660"
"0";"00084F80";"白石 紀子";"";"0008A668"
"0";"00084F90";"それじゃあ、金曜日の夜に公園で
待ってますね";"";"0008A670"
"0";"00084FC0";"$p";"";"0008A678"
"0";"00084FD0";"いや　やめておくよ";"";"0008A680"
"0";"00084FE8";"白石 紀子";"";"0008A688"
"0";"00085000";"そう…　ですか…
分かりました";"";"0008A690"
"0";"00085020";"白石 紀子";"";"0008A698"
"0";"00085030";"あっ　$puさん…";"";"0008A6A0"
"0";"00085040";"白石 紀子";"";"0008A6A8"
"0";"00085050";"この前の約束の日は…　すみませんでした
私、どうしても待ち合わせに行けなくて…";"";"0008A6B0"
"0";"000850A0";"白石 紀子";"";"0008A6B8"
"0";"000850B0";"ずっと待たせちゃったんでしょうね…";"";"0008A6C0"
"0";"000850D8";"白石 紀子";"";"0008A6C8"
"0";"000850F0";"今度こそ、ちゃんと行きますから
一緒に盆踊りに行きませんか？";"";"0008A6D0"
"0";"00085130";"今度こそ　ちゃんと来てくれよ";"";"0008A6D8"
"0";"00085150";"もう紀子と待ち合わせるのは懲り懲りだよ";"";"0008A6E0"
"0";"00085180";"いらっしゃいませ";"Welcome";"0008A6E8"
"0";"000851A0";"あの、$puさん
ちょっと聞いていいですか？";"";"0008A6F0"
"0";"000851D0";"私…この間お客さんに
「幸薄そう」って言われたんです";"";"0008A6F8"
"0";"00085210";"私って…　そんなに不幸そうに見えますか？";"";"0008A700"
"0";"00085240";"見るからに不幸そうだ";"";"0008A708"
"0";"00085260";"どちらかと言えば不幸そうだ";"";"0008A710"
"0";"00085280";"俺は不幸そうだとは思わない";"";"0008A718"
"0";"000852A0";"見るからに不幸そうだ";"";"0008A720"
"0";"000852C0";"えっ！？　そうなんですか？";"";"0008A728"
"0";"000852E0";"どちらかと言えば不幸そうだ";"";"0008A730"
"0";"00085300";"やっぱり…　そうなんですね…";"";"0008A738"
"0";"00085320";"俺は不幸そうだとは思わない";"";"0008A740"
"0";"00085340";"そうですか？　うん…　でも…";"";"0008A748"
"0";"00085360";"でも、私の何かが不幸そうに
見せてるんですよね…";"";"0008A750"
"0";"00085390";"たぶんそれは…";"";"0008A758"
"0";"000853A0";"顔色だ";"";"0008A760"
"0";"000853A8";"境遇だ";"";"0008A768"
"0";"000853B0";"しゃべり方だ";"";"0008A770"
"0";"000853C0";"顔色じゃないかな？";"";"0008A778"
"0";"000853E0";"あぁ、それはそうですね";"";"0008A780"
"0";"00085400";"じゃあ　お化粧とかすれば
不幸そうに見られなくなるかも…？";"";"0008A788"
"0";"00085440";"その境遇が原因だな";"";"0008A790"
"0";"00085460";"確かに自分でもそう思いますけど、
これは変えようがありませんし…";"";"0008A798"
"0";"000854A0";"そのしゃべり方が原因じゃないかな";"";"0008A7A0"
"0";"000854D0";"えっ　私の話し方、不幸そうですか？";"";"0008A7A8"
"0";"00085500";"でも、急に話し方を変えたら
気味悪がられませんかね…？";"";"0008A7B0"
"0";"00085540";"（そうだな、化粧でもすれば
だいぶ印象が変わるだろうな…）";"";"0008A7B8"
"0";"00085580";"はいこれ
使ってみなよ";"";"0008A7C0"
"0";"000855A0";"なんですか…？
あ！　口紅…！";"";"0008A7C8"
"0";"000855C0";"え…　でも、そんな…　悪いですよ";"";"0008A7D0"
"0";"000855F0";"いいから、つけてみな";"";"0008A7D8"
"0";"00085610";"不幸そうに見えなくなるかもよ？";"";"0008A7E0"
"0";"00085630";"いいから、つけてみな";"";"0008A7E8"
"0";"00085648";"……じゃあ…";"";"0008A7F0"
"0";"00085660";"不幸そうに見えなくなるかもよ？";"";"0008A7F8"
"0";"00085680";"…そうですか？　じゃあ…";"";"0008A800"
"0";"000856A0";"…どうですか？";"";"0008A808"
"0";"000856B0";"すごく似合ってる";"";"0008A810"
"0";"000856D0";"不幸そうには見えないよ";"";"0008A818"
"0";"000856F0";"違う色の方が良かったかな…";"";"0008A820"
"0";"00085710";"ああ　すごく似合ってる";"";"0008A828"
"0";"00085730";"ほんとですか？　へえ…
…ちょっと鏡で見てきますね";"";"0008A830"
"0";"00085770";"おっ？　不幸そうには見えないよ";"";"0008A838"
"0";"00085790";"そうですか？　ちょっと鏡で見てきます";"";"0008A840"
"0";"000857C0";"う〜ん…　違う色の方が良かったかな…";"";"0008A848"
"0";"000857F0";"ええっ！？
ちょ、ちょっと落としてきます！";"";"0008A850"
"0";"00085820";"白石 紀子";"";"0008A858"
"0";"00085830";"私…この間お客さんに
「幸薄そう」って言われたんです";"";"0008A860"
"0";"00085868";"白石 紀子";"";"0008A868"
"0";"00085880";"私って…　そんなに不幸そうに
見えるんでしょうか…";"";"0008A870"
"0";"000858B8";"$p";"";"0008A878"
"0";"000858C0";"（化粧でもすれば
だいぶ印象が変わるだろうな…）";"";"0008A880"
"0";"000858F0";"$ci口紅$crを渡しますか？";"";"0008A888"
"0";"00085910";"何色の口紅を渡しますか？";"";"0008A890"
"0";"00085930";"レッド";"Red";"0008A898"
"0";"00085938";"オレンジ";"Orange";"0008A8A0"
"0";"00085948";"ピンク";"Pink";"0008A8A8"
"0";"00085950";"ブラウン";"Brown";"0008A8B0"
"0";"00085960";"パープル";"Purple";"0008A8B8"
"0";"00085970";"やっぱり渡さない";"I'm not giving it to you after all.";"0008A8C0"
"0";"00085988";"ん？　誰だ？";"Huh? Who's there?";"0008A8C8"
"0";"000859A0";"あの、$puさん
口紅の事で…";"";"0008A8D0"
"0";"000859C0";"あの口紅、すごく高価なんですってね
店長に見せたら、びっくりしてました";"";"0008A8D8"
"0";"00085A10";"$puさんには、本当に色々お世話に
なってて、すごく感謝してるんですけど…";"";"0008A8E0"
"0";"00085A60";"でも、どうして、
ここまで親切にしてくれるんですか？";"";"0008A8E8"
"0";"00085AA0";"たしかに、事件に巻き込まれたり
記憶を無くしたり、大変ですけど…";"";"0008A8F0"
"0";"00085AE0";"私、大丈夫です　もっと自分で
頑張って、解決しますから…";"";"0008A8F8"
"0";"00085B20";"それとも…
そんなに頼りなさそうに見えますか…？";"";"0008A900"
"0";"00085B50";"君のことが好きだから放っておけなかった";"";"0008A908"
"0";"00085B80";"確かに、親切にしすぎたかもしれない";"";"0008A910"
"0";"00085BB0";"別に深い意味はなかったんだが…";"";"0008A918"
"0";"00085BD0";"親切にしてやったのにその言い草はなんだ！";"";"0008A920"
"0";"00085C00";"それは…　君のことが好きだから、
放っておけなかったんだ";"";"0008A928"
"0";"00085C38";"えっ…？";"";"0008A930"
"0";"00085C50";"迷惑だったかな…";"";"0008A938"
"0";"00085C68";"えっ…　その…";"";"0008A940"
"0";"00085C80";"君が好きなんだ　ずっと一緒にいたい";"";"0008A948"
"0";"00085CB0";"迷惑なら　俺は身を引くよ";"";"0008A950"
"0";"00085CD0";"君が好きなんだ　ずっと一緒にいたい";"";"0008A958"
"0";"00085D00";"それは…　本気で言ってるんですか…？";"";"0008A960"
"0";"00085D28";"本気だ";"";"0008A968"
"0";"00085D30";"冗談だ";"";"0008A970"
"0";"00085D38";"本気だ";"";"0008A978"
"0";"00085D40";"……";"......";"0008A980"
"0";"00085D50";"はい、嬉しいです
$puさんが良ければ…";"";"0008A988"
"0";"00085D78";"ありがとう";"";"0008A990"
"0";"00085D88";"…冗談だ";"";"0008A998"
"0";"00085DA0";"えっ！？　な、なんですか！　もうっ！";"";"0008A9A0"
"0";"00085DD0";"か、帰ります…！";"";"0008A9A8"
"0";"00085DF0";"迷惑なら　俺は身を引くよ";"";"0008A9B0"
"0";"00085E10";"いや、あの…！
は、はい…　すみません…";"";"0008A9B8"
"0";"00085E40";"確かに、親切にしすぎたかもしれないな";"";"0008A9C0"
"0";"00085E70";"別に深い意味はなかったんだが…";"";"0008A9C8"
"0";"00085E90";"親切にしてやったのにその言い草はなんだ！";"";"0008A9D0"
