"block";"j_offset";"j_string";"e_string";"pointer"
1;"84380";"謎の早朝電話について聞く";;"0008A3D0"
1;"843A0";"何も聞かない";;"0008A3D8"
1;"843B0";"この間、朝早く俺に
電話をかけてこなかったか？";;"0008A3E0"
1;"843E0";"ねえ、私の家に朝早く電話かけたことない？";;"0008A3E8"
1;"84410";"えっ？　で、電話…ですか？";;"0008A3F0"
1;"84430";"その時間に隣の部屋で殺人事件が起きて
俺はまた事件の容疑者になってるんだ";;"0008A3F8"
1;"84480";"その時間に隣の部屋で殺人事件が起きて
私また事件の容疑者になってるのよ";;"0008A400"
1;"844D0";"そうなんですか？";;"0008A408"
1;"844F0";"電話をかけてきた相手が証言してくれれば
アリバイが証明できるらしいんだが…";;"0008A410"
1;"84540";"電話をかけてきた相手が証言してくれれば
アリバイが証明できるらしいんだけど…";;"0008A418"
1;"84590";"………………………………";;"0008A420"
1;"845B0";"あの…　私です…
…私がかけました";;"0008A428"
1;"845E0";"本当か！　それじゃあ　さっそく証言してくれ！";;"0008A430"
1;"84610";"君が…？　でもどうして？";;"0008A438"
1;"84630";"本当？　じゃあ　さっそく証言してよ！";;"0008A440"
1;"84660";"あなたが？　…何か用事でもあったの？";;"0008A448"
1;"84690";"本当か！
それじゃあ　さっそく証言してくれ！";;"0008A450"
1;"846C0";"本当？　じゃあ　さっそく証言してよ！";;"0008A458"
1;"846F0";"あ…　は、はい…！";;"0008A460"
1;"84710";"君が…？　でもどうして？";;"0008A468"
1;"84730";"あなたが？　…何か用事でもあったの？";;"0008A470"
1;"84760";"いえっ…　その…";;"0008A478"
1;"84780";"ちょっと…
$puさんのことが気になって…";;"0008A480"
1;"847B0";"ごめんなさい　朝早く…";;"0008A488"
1;"847D0";"…それじゃあ　$ci大海町の交番$crにいる
刑事さんに話してきますね";;"0008A490"
1;"84810";"白石 紀子";;"0008A498"
1;"84820";"おはようございます
$pさん";;"0008A4A0"
1;"84840";"白石 紀子";;"0008A4A8"
1;"84850";"こんにちは　$pさん";;"0008A4B0"
1;"84868";"白石 紀子";;"0008A4B8"
1;"84880";"こんばんは　$pさん";;"0008A4C0"
1;"84898";"白石 紀子";;"0008A4C8"
1;"848B0";"口紅　ありがとうございました";;"0008A4D0"
1;"848D0";"白石 紀子";;"0008A4D8"
1;"848E0";"おかげ様で、これからはもう
不幸そうだなんて言われなくて済みそうです";;"0008A4E0"
1;"84928";"白石 紀子";;"0008A4E8"
1;"84940";"私には似合わなかったけど…
すごく嬉しかったです";;"0008A4F0"
1;"84970";"（ん？）";;"0008A4F8"
1;"84980";"（あら？）";;"0008A500"
1;"84990";"（何だ？）";;"0008A508"
1;"849A0";"（何かしら？）";;"0008A510"
1;"849B0";"白石 紀子の命は預かった
彼女を助けたければ…";;"0008A518"
1;"849E0";"出玉町の第１埠頭まで、一人で来い
　　　　　　　　　　　　　銀玉仮面";;"0008A520"
1;"84A30";"紀子が心配だ　助けに行く！";;"0008A528"
1;"84A50";"銀玉仮面の正体を暴きに行く！";;"0008A530"
1;"84A70";"ヒマだし、することがないので埠頭に行く";;"0008A538"
1;"84AA0";"紀子が心配よ　助けに行く！";;"0008A540"
1;"84AC0";"紀子…　待ってろ
必ず助けるからな！";;"0008A548"
1;"84AF0";"銀玉仮面め…
今度こそその正体を暴いてやる！";;"0008A550"
1;"84B20";"…まあヒマだし、
第１埠頭まで行ってみるかな…";;"0008A558"
1;"84B50";"紀子ちゃん…　必ず助けるからね！";;"0008A560"
1;"84B80";"銀玉仮面…
今度こそその正体を暴いてやるわ！";;"0008A568"
1;"84BB0";"…まあヒマだし
第１埠頭まで行ってみようかな…";;"0008A570"
1;"84BE0";"あっ　$puさん！
おはようございます";;"0008A578"
1;"84C10";"あっ　$puさん！
こんにちは";;"0008A580"
1;"84C30";"あっ　$puさん！
こんばんは";;"0008A588"
1;"84C50";"…そうだ、$puさん
今度の金曜日、盆踊りに行きませんか？";;"0008A590"
1;"84C90";"…そうだ、$puさん
明日の夜に、盆踊りに行きませんか？";;"0008A598"
1;"84CC8";"いいね　行こう";;"0008A5A0"
1;"84CE0";"いや　やめておく";;"0008A5A8"
1;"84CF8";"いいね　行こう";;"0008A5B0"
1;"84D10";"それじゃあ、明日の夜に公園で
待ってますね";;"0008A5B8"
1;"84D40";"それじゃあ、金曜日の夜に公園で
待ってますね";;"0008A5C0"
1;"84D70";"いや　やめておくよ";;"0008A5C8"
1;"84D90";"そう…　ですか…
分かりました";;"0008A5D0"
1;"84DB0";"白石 紀子";;"0008A5D8"
1;"84DC0";"$puさん
おはようございます";;"0008A5E0"
1;"84DE0";"白石 紀子";;"0008A5E8"
1;"84DF0";"$puさん
こんにちは";;"0008A5F0"
1;"84E08";"白石 紀子";;"0008A5F8"
1;"84E20";"$puさん
こんばんは";;"0008A600"
