"block";"j_offset";"j_string";"e_string";"pointer"
1;"171340";"「$ci$e0$cr」へ進みますか？";;"001722B8"
1;"171360";"「$ci$e0$cr」へ入りますか？";;"001722C0"
1;"171380";"「$ci$e0$cr」へ出ますか？";;"001722C8"
1;"1713A0";"「$ci$e0$cr」へ帰りますか？";;"001722D0"
1;"1713C0";"進む";;"001722D8"
1;"1713C8";"入る";;"001722E0"
1;"1713D0";"出る";;"001722E8"
1;"1713D8";"帰る";;"001722F0"
1;"1713E0";"やめておく";;"001722F8"
1;"1713F0";"これより先は、進む必要はないな…";;"00172300"
1;"171418";"パチパラ町";;"00172308"
1;"171428";"大海町";;"00172310"
1;"171430";"出玉町";;"00172318"
1;"171438";"あすなろ荘";;"00172320"
1;"171448";"メゾン大海";;"00172328"
1;"171458";"ハイツ出玉";;"00172330"
1;"171470";"$e0のバス停だ
どこに行きますか？（バス運賃：$e2玉）";;"00172338"
1;"1714B0";"貯玉数が足りません";;"00172340"
1;"1714D0";"$e0のバス停だ
現在バスは運行しておりません";;"00172348"
1;"171500";"八原町「八原警察前」";;"00172350"
1;"171520";"大海町「大海公園前」";;"00172358"
1;"171540";"出玉町「ハイツ出玉前」";;"00172360"
1;"171560";"出玉町「パチパラビル前」";;"00172368"
1;"171580";"出玉町「大通り公園前」";;"00172370"
1;"1715A0";"出玉町「港湾施設前」";;"00172378"
1;"1715B8";"やめておく";;"00172380"
1;"1715D0";"パチンコを打ちますか？";;"00172388"
1;"1715F0";"$e2：　$e3番台
（貯玉：$e1玉 ／ 腹具合：$ci$e0$cr）";;"00172390"
1;"171628";"打つ";;"00172398"
1;"171630";"やめておく";;"001723A0"
1;"171640";"$p";;"001723A8"
1;"171650";"今はパチンコを打っている場合じゃないな";;"001723B0"
1;"171678";"$p";;"001723B8"
1;"171680";"今はパチンコを打っている場合じゃないわね";;"001723C0"
1;"1716B0";"$p";;"001723C8"
1;"1716C0";"貯玉が足りないな…";;"001723D0"
1;"1716D8";"$p";;"001723D8"
1;"1716E0";"貯玉が足りないわ…";;"001723E0"
1;"171700";"パチプロ老人　夢路";;"001723E8"
1;"171720";"今日は疲れてんだ
勝負なら明日にしてくれ";;"001723F0"
1;"171750";"パチプロ　虎牙鬼十郎";;"001723F8"
1;"171770";"ムム…ッ　今日は都合が悪い
勝負は明日にしてもらおう";;"00172400"
1;"1717B0";"パチプロ　左打ちの大八";;"00172408"
1;"1717D0";"今は都合が悪ぃ　勝負はおあずけだ";;"00172410"
1;"171800";"パチプロ主婦　千尋";;"00172418"
1;"171820";"今は、あんたとは戦いたくない気分なんだ";;"00172420"
1;"171850";"看護婦パチプロ　茜";;"00172428"
1;"171870";"ごめんなさい
今はパチンコ勝負する気になれないの";;"00172430"
1;"1718A0";"リョウジ";;"00172438"
1;"1718B0";"今は勝負する気分じゃないんだ
話しかけないでくれ";;"00172440"
1;"1718E0";"玉心";;"00172448"
1;"1718F0";"今日の勝負はこれで終わりです
もう一度出直してきなさい";;"00172450"
1;"171930";"背中に傷を持つ男";;"00172458"
1;"171950";"今日は営業できねぇなあ";;"00172460"
